作品,作品积分,年,月
再次重逢,25000,2015,2
爱恨同眠,21586,2015,2
重头来过,30222,2015,2
隐市,19024,2015,2
不再中二好多年,38435,2015,2
［ABO］两个Alpha的爱情故事,34675,2015,2
（火车侠同人）速度与激情（腐向）非腐慎入,144539,2015,2
墨色,48713,2015,3
第二日相遇,56634,2015,3
交易,19234,2015,3
外来入侵者,198189,2015,3
安之若素之别来无恙,45272,2015,3
维,127794,2015,4
盛世之许：一生安逸,406450,2015,4
《锦瑟离:情深醉流觞》,20717,2015,4
Addiction,22357,2015,5
祁临天下启盛世,31687,2015,5
九曲回肠(强强年下）,172174,2015,5
奸臣当道,53060,2015,5
贱客小分队,73495,2015,5
异世双世,21970,2015,5
逃之夭夭之泡泡美男,104284,2015,6
修仙追妻史,21054,2015,6
兽前时代,38869,2015,6
追夫,47868,2015,6
重生之躲不掉,51819,2015,6
伶臣,85657,2015,6
弃明投暗,38929,2015,6
未来引魂师（系统）,41615,2015,6
[无限流]共生,19161,2015,7
我想和你随波逐流,46594,2015,7
极端与堕落,30369,2015,7
风萧烟烬琼华散,21688,2015,7
换号飞升,19424,2015,7
至尊,247873,2015,7
城间,28343,2015,7
重生之歆系天下,41059,2015,7
重生之倾城魅爱,61326,2015,7
星际之青衣寂寂,63147,2015,7
末日空城,39719,2015,8
点惊楼,38752,2015,8
寻,29079,2015,8
玄醉,44880,2015,8
丧世何处寻曙光,403302,2015,8
天使来过,61131,2015,8
（海锋）一千零一面镜子,56106,2015,8
血族,85618,2015,8
末世之林风,30001,2015,8
[未来]颠覆历史,31948,2015,8
占有你的胃,54660,2015,9
亲王大人，我是你的正攻,37579,2015,9
道友，修仙不易，勿糟践,23430,2015,9
征途,44685,2015,8
非法驱逐者,35686,2015,8
墨画成城，九曲无方,25892,2015,8
祢裳劫,182203,2015,8
纨绔不是病,44767,2015,8
人走茶凉,24152,2015,8
凤凰何以逆风袭,48021,2015,8
借根枝做个窝,89484,2015,9
[处刑人]FUCK,158614,2015,9
山河美人劫,81507,2015,9
朱砂,77129,2015,9
有种就别再爱,78974,2015,9
[哨兵向导]唯有孤独,32132,2015,9
倾心,26254,2015,9
末世之你的手，我来牵,22622,2015,9
不败神话,26268,2015,9
主角欠我债,24694,2015,9
曾经被曾经,202384,2015,9
重生之醉颜红,29884,2015,10
唯君,26014,2015,10
我要我们在一起,19793,2015,10
找到你,65591,2015,10
愧伤,136250,2015,11
重案集,49062,2015,11
飞鸟江湖剑,63650,2015,11
今儿明天,50675,2015,11
屠国,78346,2015,11
混蛋,81367,2015,11
大魔头诞生啦,57005,2015,12
唔！乖，回家,30690,2015,12
遇鬼，当媳妇,64212,2015,12
force,30610,2015,12
不归雁,26329,2015,12
老妖怪与金手指,46378,2015,12
宫变,35062,2015,3
《FFF团表示不服》,22174,2015,2
滚粗，别追我,39474,2015,5
论作死的正确方法,39455,2015,7
重生之楚澈,24245,2015,11
疯狂,289788,2015,2
觊觎,99406,2015,1
倾世痞妃,152569,2015,2
景佳扬,331096,2015,1
贪婪[龙珠],67161,2015,1
绿夏,25469,2015,1
进击的复仇女,96660,2015,1
仅铭于城,21867,2015,1
拐个夫君好回家,214328,2015,1
无伤,33792,2015,1
[马可波罗]Pale Flowers and Silk Robes,310679,2015,1
[马可波罗]汝心安处是吾乡,369229,2015,1
[马可波罗]Blue Moon and Yellow Sun,316179,2015,1
清壶浊饮醉平生,23750,2015,1
除了爱你，什么都不怕,27601,2015,1
收了你，狐狸,287900,2015,1
灰色地带,20844,2015,1
云族,111252,2015,1
长生劫,99467,2015,1
天堂鸟的爱恋,81752,2015,1
一捧山河空余生,124485,2015,1
幻梦,20695,2015,1
非正常事件侦探社,32691,2015,1
莫逆之交,67300,2015,1
逗出来的基情,294399,2015,1
魔界入侵,28249,2015,1
榜上有名之双生,133721,2015,1
竹里馆,359978,2015,1
伪竹马恋情,132266,2015,1
学校无人,32562,2015,1
黎明の王,44209,2015,1
长生殿,114422,2015,1
欢颜天下,97526,2015,1
古耽小短篇,19644,2015,1
重生之黑化进行时,63660,2015,1
[ 重生 ] 颠覆,26783,2015,1
天使的救赎,202892,2015,1
试代码，请勿入,1051458,2015,1
神巅,345049,2015,1
神罚掌控者,20822,2015,1
最后的凌晨四点,24227,2015,1
错年之残月流桑,221389,2015,1
好想告诉你，我爱你！,21978,2015,1
红尘乱,233267,2015,1
魅绝天下,141687,2015,1
末世之夺回你,28894,2015,1
我们的幸福始于那场婚礼,43652,2015,1
斜晖倾酒,44181,2015,1
猫狗修真路,36886,2015,1
狼女姐姐是皇后?!,33098,2015,1
醉意江湖,118088,2015,1
迷恋,96038,2015,5
你走吧,21589,2015,1
穿啦？靠,56174,2015,1
鹰眼（火影）,36398,2015,1
凤鸣天下,43384,2015,1
一千凌一叶,19226,2015,1
伤痕,91906,2015,1
三拜定生,39193,2015,1
一言行,362801,2015,1
千机变,360598,2015,1
重生之乱空,24282,2015,1
鱼水蘅谣,63261,2015,1
江湖人宝娘传,98626,2015,1
帝后书,1047535,2015,1
赌局,27109,2015,1
神隐,57429,2015,1
冬日暖歌,394346,2015,1
千年,91621,2015,2
阎王家的倒霉鬼,76544,2015,2
耽美铅华下,32981,2015,2
你且先行,390106,2015,2
盗墓同人蛊惑人心,63747,2015,2
兽身相许,21074,2015,2
猎人之无法传达的心意,106525,2015,2
恶灵,61353,2015,2
阴影,24964,2015,2
桃花城,19449,2015,2
[刘J]King Genocide,275327,2015,2
穿越之导刻术师,149250,2015,2
白雪后妈与基佬光环,24864,2015,2
深爱,21125,2015,2
被玛丽苏包围的后果,29462,2015,2
南星修罗,68528,2015,2
今夕何夕兮,346673,2015,2
寻找跑路的香蕉君,36253,2015,2
朕没有疑心病,27208,2015,2
花重影之清秾篇,95221,2015,2
浪女回头豆芽菜,418659,2015,2
别无他求,19486,2015,2
小明，滚出去！,135954,2015,2
小丑作风,39095,2015,2
袖手天下,42672,2015,2
围炉夜话,22818,2015,2
暗色,22950,2015,2
T.V.A.G.,59428,2015,2
你知道什么,37607,2015,2
长恨歌,52482,2015,2
论三观崩坏的人如何在现代社会生存,29201,2015,2
这一只药人是你的吗,113413,2015,2
穿越之君临天下（受）,47710,2015,2
传说,55429,2015,2
待我一统江湖,31950,2015,2
秋枫红,39442,2015,2
瞎子燕三,56986,2015,2
叔叔，我们不约,91698,2015,2
火影·我鸣：如果改变,29867,2015,2
朕姓皇名帝,60886,2015,2
感觉时刻,38799,2015,2
没有天神,1405818,2015,7
异界迷途,20186,2015,2
阋墙,66639,2015,2
百里可以返,269361,2015,2
夜半打更人,34252,2015,2
[斗破]在我被放逐前一百年,30859,2015,2
Say you remember me,179805,2015,6
温澜潮生,52967,2015,2
死城迷雾,224771,2015,2
韩家二少的日常,38711,2015,2
问侠,97201,2015,2
Constellation,113616,2015,2
雪落后,30168,2015,2
无霾,23603,2015,2
安德鲁的森林,80867,2015,2
送行者,154315,2015,2
琴箫一曲相送,89640,2015,2
主角作死七方式,26185,2015,2
重生之诺央,41952,2015,2
此女非幺是妖,29781,2015,2
争范传奇,22874,2015,2
无妄罪案,44832,2015,2
我家帝君是个攻,60056,2015,2
君归否,19027,2015,2
落花瞳,36940,2015,2
嘿，你知道我在爱你吗,21939,2015,2
他只是不是你而已,19055,2015,2
一人之下,21149,2015,2
末世的孩子伤不起,21475,2015,2
系在心上的线,37821,2015,2
龙鸣,41149,2015,2
生生劫衍生篇,28344,2015,2
凤妻吾,99285,2015,2
倾世魔主太妖娆,78602,2015,2
此情可待,61504,2015,2
无法逃脱,73256,2015,2
天时地利人和的RP,27712,2015,2
冰山什么的果然只是幻想,20864,2015,2
重生之谁说胖子不能变男神,120234,2015,11
爱情逃客,563318,2015,2
苏清和,19801,2015,2
另一个时空那些不得不说的故事,59578,2015,2
不作死会死,35841,2015,2
难得倾城,21099,2015,2
女保镖的正确攻略,53293,2015,2
腐宅进化论,68284,2015,2
自创腐段子之你所不知道的历史真相,21162,2015,2
魅鱼之生死赌局,87115,2015,3
画风不同怎么谈恋爱,19242,2015,2
且顾花荫,101537,2015,2
人生无间自有道,104123,2015,2
这也也是坑,1242480,2015,2
Evanescence,112733,2015,3
青玉案,92635,2015,2
吉祥纹莲花楼同人相关话题,53672,2015,2
穿越时空办事处的名角,23699,2015,3
星主,38984,2015,3
公主心底的梦,37044,2015,3
顾城,21158,2015,3
鬼堡,30153,2015,3
非羽,34001,2015,3
要去，行，带着我,184932,2015,3
老娘就是没胸怎地,19026,2015,3
[马可波罗]东方的承诺（艾哈迈德/真金）,487248,2015,3
曲中栖燕,79273,2015,3
情穿千年,27490,2015,3
花飞舞天下,176471,2015,3
战时情缘,42973,2015,3
光兽荒梦,34332,2015,3
洹河神州录,247891,2015,3
盗心贼,57515,2015,3
红颜不受,93848,2015,3
步步惊心,37346,2015,3
evil and live,25060,2015,3
天使之翼-守护,65906,2015,3
重生之倾情,215733,2015,3
难爱,29216,2015,3
携手至白头,47519,2015,3
Us against the world,835173,2015,3
有花遗川,1093995,2015,3
重生之自投罗网,47641,2015,3
嘘,62938,2015,3
望月之恋,42139,2015,3
那些封神唯美自编段子,19559,2015,3
冬日蟋蟀,50857,2015,3
荒途旧梦,60927,2015,3
忠毅不二,27052,2015,3
隔墙有狼,182117,2015,3
秀色不及馒头面,26787,2015,3
一树桃花妖,25856,2015,3
重煕,29561,2015,4
王者至尊,50128,2015,3
妖孽乖乖的,23590,2015,3
白歌,31038,2015,3
异世之后,37104,2015,3
你说硬币的双面本该相依,65141,2015,3
背叛以后,37610,2015,3
当星辰爱上人类,64830,2015,3
言既非离,20460,2015,3
这一生只为和你相遇,24774,2015,3
风流本性,34716,2015,3
毒药,260098,2015,4
泡沫,43557,2015,3
重案11处,27901,2015,3
[铉Key]独角戏,27805,2015,3
“倒爷”,54487,2015,3
攻守交换,51947,2015,3
喂，把它还给我,106962,2015,3
玩笑契约,35621,2015,3
银针,52072,2015,3
不是龙阳,126073,2015,3
我们结婚了,79830,2015,3
赌约游戏,106809,2015,3
云顾,28438,2015,3
EXO之命运,25642,2015,3
清风起舞乱红尘,63513,2015,3
镜,24837,2015,3
37+33,55176,2015,3
猎爱狠妻,56098,2015,3
合鹬,73884,2015,4
我是一只小狐狸,44901,2015,3
K爱秘籍,78473,2015,3
声色江湖,63228,2015,3
纳兰七,22636,2015,3
一世长安,40448,2015,3
卿曲长歌,24339,2015,3
扛把子日常,28748,2015,4
半路兄弟，半世情人。,40244,2015,3
莫冷风华,26955,2015,3
天裔,76268,2015,3
沐心,20940,2015,3
一休,22916,2015,3
老子才没有喜欢他,57875,2015,3
论变扭的结局,135403,2015,3
朗月清风过,65942,2015,3
专属系统,50836,2015,3
朝朝暮暮,52210,2015,4
夹缝,144921,2015,4
重归娱乐圈重生,65925,2015,4
夫子进化史,58766,2015,4
盗笔之似是故人来,39684,2015,4
你特娘的别跑,32603,2015,4
元素之力,135710,2015,4
决战,26492,2015,4
无奈,26081,2015,4
已许国，难许卿,103798,2015,4
值&爱,214905,2015,4
［娱乐圈］谁人不识卿,35307,2015,4
【盗笔黑花同人】海棠碎墨,31609,2015,4
穿越未知世界,76383,2015,4
101号男生公寓,54602,2015,4
锁涟,34500,2015,4
泼皮,23885,2015,4
也是醉了,31499,2015,4
（同人）衍落,77081,2015,5
鸦,21245,2015,4
七年后,31139,2015,4
当白莲花遇见二货时,38426,2015,4
秦眳,24201,2015,4
山重水复,213827,2015,4
萤火,72433,2015,4
神话,67773,2015,4
总裁攻略,59616,2015,4
迷,47045,2015,4
白塔之南,87972,2015,4
洛氏夜色,21671,2015,4
落凡中,271930,2015,4
与君共韶华,80848,2015,4
狼后：我家皇后最呆萌,32177,2015,4
[威虎山]极速风流,5126121,2015,4
何故无殇,85344,2015,4
掰弯老弟,78850,2015,4
妹妹,37122,2015,4
华亭泣,40763,2015,4
既见君子，谓我何求,49930,2015,4
两相和,94189,2015,4
[Key豪]破坏欲,109141,2015,4
盐酸少女的实验室制法,41773,2015,4
红尘经见录之流光劫,90030,2015,4
在下是中国人，来战,29181,2015,4
花笺,185960,2015,4
受到“禽”来,124912,2015,4
傻子小姐，一鸣惊人,48689,2015,4
军使,42200,2015,4
Two Hit,122606,2015,4
哼，谁敢害我！,247383,2015,4
高冷做人系统,23998,2015,4
海灵,66260,2015,7
逍遥无云,86436,2015,4
绝世吉祥物,31249,2015,4
那点二三事,33710,2015,4
我是一条哈士奇汪！,31268,2015,4
时光荏苒,29854,2015,4
黄雀表示不着急,22155,2015,4
总裁放过我,345037,2015,4
悍妻,123207,2015,4
无限世界123,171614,2015,7
提刑官最大,43713,2015,4
金克丝在皮城,23214,2015,4
左言右语,130754,2015,4
以拯救之名,53148,2015,6
重生之二次重生,245986,2015,5
末世之神迹降临,24817,2015,5
血色靡绯,42862,2015,5
迷路,19362,2015,5
穿越之小白的大神之路,41995,2015,5
末世之将临,31621,2015,5
哥，下世还爱你,25305,2015,5
末世降临,19436,2015,5
生者为王之末日绝唱,81706,2015,5
穿越成土地公公怎么破~,27335,2015,5
真假小子,333148,2015,5
佛乱六道,53846,2015,5
哥们是用来泡的,115213,2015,5
高冷风流两不误,37058,2015,5
兄长请自重！,59369,2015,5
Monster,32723,2015,5
双生不离,21714,2015,5
家教--缚云之雾,23271,2015,5
凤钗,125831,2015,5
相伴相生,62249,2015,5
绝代风华帝君请自重,19853,2015,5
渊鸳相报,131867,2015,5
清心寡欲,21653,2015,5
耽美之我悲剧了,23860,2015,5
喂！冰山脸，做我的老婆吧,19036,2015,5
奈何江岸晚,81174,2015,5
你还爱我吗？,86485,2015,5
琳狼~魔弓,201896,2015,5
冽锁骁棋,45966,2015,5
情有独钟,23805,2015,5
凤鸣子韵,34419,2015,5
墨上海棠,21251,2015,5
原创出门没报备肿么办？,22698,2015,5
捕捉到落单宿敌君,29029,2015,5
凡尘盛世桃花香,81038,2015,5
医者攻心,33710,2015,5
狼王的禁奴,185176,2015,5
炫约一世情,65886,2015,5
网王之向前.回首.人已非,24174,2015,5
论潜在性逗比的横扫天下之路,84091,2015,5
女王攻略,199060,2015,5
我喜欢你很久了,25428,2015,5
温兮，凉惜,57313,2015,5
雾沉复生渊,63189,2015,5
紫萱后记,20863,2015,5
曲项天歌,217341,2015,5
俗不可耐,36853,2015,5
绝对危险之情人跑不掉,55795,2015,5
黑界,86746,2015,5
最美的太阳,155396,2015,5
秦时明月之遗失的爱,25762,2015,5
偶师,21917,2015,5
崩塌,77190,2015,5
随笔,22212,2015,6
败家呀你！,30370,2015,5
渡魂师,77277,2015,5
拽公主碰上腹黑恶少,27850,2015,5
隐世阁,23880,2015,5
楠绅隶,25111,2015,5
苹果控,74177,2015,5
何所归,244343,2015,5
不愿如意,24264,2015,7
仙?白首,32630,2015,5
物以稀为贵,55767,2015,5
宋家兄弟,24477,2015,5
淡色蔷薇之歌星路,19558,2015,5
[乱世]银契,100539,2015,6
表里争夺,23347,2015,5
风之痕,345713,2015,5
晨随墨离,25699,2015,5
神话事,20566,2015,6
烟柳,19024,2015,6
至死终不悔,36894,2015,6
月色真美四题,19080,2015,6
废柴倾城之鸾凤和鸣,85519,2015,6
北国风光,59170,2015,6
剧情明明不是这样的,31352,2015,6
教主大人在上,67668,2015,6
一曲弦歌醉江山,23837,2015,6
雾影,32527,2015,6
三青,23438,2015,6
小子追妻路漫漫,45788,2015,6
边战边爱是无奈,151555,2015,6
店小二的钓鱼生涯,138884,2015,6
渣男对决,54304,2015,6
一眼初春,563835,2015,6
暖海,120988,2015,6
雨落风林,48080,2015,6
势不还,23318,2015,6
血色循环,68185,2015,6
浮生若戏,75096,2015,6
凡人,184329,2015,6
同桌是蛇精病,30524,2015,6
名动天下,32420,2015,6
七&夜,29606,2015,6
反骨,210327,2015,6
从前，有只优,49669,2015,6
戏海棠,66036,2015,6
夕成玦,46394,2015,6
《睁眼说瞎话》《别动我的人》,20030,2015,6
渎,67896,2015,6
四方寻,49338,2015,6
谁说女配会炮灰,24367,2015,6
死神-神印,101464,2015,6
总裁的迷糊小甜妻,23206,2015,6
1111,69387,2015,6
仙魔问情之雪女,36846,2015,6
以何为拒,43432,2015,6
白莲花,33689,2015,6
骸云短篇,74642,2015,6
小生,72839,2015,6
= =,20090,2015,6
东方王者,699950,2015,6
《暗蚀》同人，维克多受,20169,2015,6
尖刀-三国策瑜,50406,2015,6
一只狐狸的江湖,20112,2015,6
恋爱秘密,23426,2015,6
始闻竹生春玉林,35288,2015,6
［系统］宅男穿越记,19036,2015,6
破壁,20108,2015,12
军心处，烨未央,82942,2015,6
我们都喜欢的蓝,93048,2015,6
重重,24045,2015,6
公子小白,50869,2015,6
[FF7]小心，你的面具,33294,2015,6
The King No Heart,189955,2015,6
国,102328,2015,6
未闻其苼，栩如其人,56197,2015,6
桃囚,40810,2015,6
暗狱血恋,142379,2015,6
倾城舞妃,22748,2015,6
凭什么说爱我,22967,2015,6
凤求凰之梦里花落,25689,2015,7
在那飘毛的星空中,28076,2015,6
哥，你别跑啊,65337,2015,6
倾城笑，君莫逃,49123,2015,6
剑网三同人桃花依旧,19965,2015,6
机甲之林祈,45368,2015,6
叛离,22494,2015,6
[修仙]知君,66903,2015,6
十年生,65542,2015,6
风然,167759,2015,10
小警帽的失踪案,109294,2015,6
逃不出,20100,2015,6
当我捡着一条狗,21478,2015,6
泥足深陷,24234,2015,6
[剑三]梦回天琅旧,23953,2015,6
强者的势力,71153,2015,6
重生之归来,25483,2015,6
[银魂]想你幸福,41592,2015,6
别闹我是清和王,32168,2015,6
即墨,24261,2015,6
净土速纪,130449,2015,6
生存游戏之别饿死,20925,2015,6
浪淘尽,20090,2015,6
江山万里,34687,2015,6
丞相遇上将,35399,2015,6
俯仰望苍穹,421442,2015,6
如何逃离深井冰的魔爪,41729,2015,6
轩歌行,19292,2015,6
携手并进,36192,2015,6
有非,47440,2015,6
求不得,385042,2015,6
红尾海妖,25381,2015,6
再一次,27011,2015,6
鬼帝之异世做帝,22873,2015,6
莫欺少年萌,119429,2015,6
综 世界,29767,2015,6
就这样,28978,2015,6
吸血鬼日常,25575,2015,6
神荒,28818,2015,6
情缚三生,60359,2015,6
我学不会忘记,27653,2015,6
重生之握住你的手,25859,2015,6
传说弟弟暗恋他,29494,2015,6
安歌,58289,2015,6
重生追夫记,19090,2015,6
当胤祀重生现代都市,21679,2015,6
烽火起，长歌眠,93811,2015,6
【死神乌蓝】偏执,32089,2015,6
默默为赢,195003,2015,6
我会等你,39368,2015,6
威尔奈特星记事,23454,2015,6
好吧王爷，我不残疾了,46691,2015,6
九灵,26570,2015,7
那时年少,32759,2015,7
论结婚的重要性,42936,2015,7
倾覆,129238,2015,7
诛心,91802,2015,7
密墟,32391,2015,7
七域双尊,92086,2015,7
重逢时你还恋我吗？,28609,2015,7
怪物学院,42955,2015,7
just again 浪漫传说,29564,2015,7
心之城,65624,2015,7
相思醒,22054,2015,7
诡话,80570,2015,7
何为末世,23854,2015,7
请君侧耳,26846,2015,7
魔药,19030,2015,7
谁说春风等闲渡,43709,2015,7
无言于陌,38058,2015,7
帝医,29725,2015,7
AYC双生,154062,2015,7
甜品与巧克力,39179,2015,7
爱的骑士之战,38749,2015,7
铁皮乌鸦,60017,2015,7
邪帝,30076,2015,7
师父，别睡了,25039,2015,7
千岁莲,221224,2015,7
峥嵘苑,68015,2015,7
月夜阑珊,105932,2015,7
塞克帕斯,44304,2015,7
独惶,31602,2015,7
一见，亲，情！,95377,2015,7
一浮华,24831,2015,7
飞来的皇后,91624,2015,7
千年尸王之血仆,21237,2015,7
黑夜阳光,40655,2015,7
众神的赌局,48500,2015,7
皓月当空,37385,2015,7
33号八角巷,26082,2015,7
伤折为爱,162107,2015,7
反攻系统,27273,2015,7
何之以盗,22482,2015,7
（穿越）正太与忠犬的故事,21156,2015,7
[末世]鲨,20943,2015,7
新生,36164,2015,7
报仇的机会,180072,2015,7
佣兵游戏,280751,2015,7
神女明灵儿,53788,2015,8
春风一顾,26806,2015,7
[哨兵向导]反叛,31716,2015,7
迎娶少年地中海,61714,2015,9
《夜宴》,82328,2015,7
青三合,81846,2015,7
单恋热线海暗篇,25885,2015,7
绝非暴食,70297,2015,7
末世之千里随行,76041,2015,7
一渣更比一渣渣,116734,2015,11
无用,49429,2015,7
木子于物,123489,2015,7
陌离别若夕念,54195,2015,7
傲娇王妃不好追,21481,2015,7
獠牙,107278,2015,7
来，战个痛快！,141848,2015,7
未开花的爱与憎,20910,2015,7
黑化系列文,102201,2015,7
晨曦未晞,67368,2015,7
军区医院,25431,2015,7
夙祁隐,33002,2015,7
〈〈A计划〉〉,31656,2015,7
异世逍遥仙,24888,2015,7
一笑菊花紧,69644,2015,7
百绯一色,29215,2015,7
末世之后,29176,2015,7
风月楼前传,23833,2015,7
归,35406,2015,7
浮沉,269142,2015,7
[死神]巫妖,77207,2015,7
我爱的懦弱,34345,2015,7
多情林,20090,2015,7
曾经沧海，除却巫山,138428,2015,7
红妆(重生),244186,2015,7
雇佣兵,562311,2015,7
修罗狂神,24175,2015,7
雷峰塔会掉下来,21156,2015,7
叫我女王大人,21156,2015,7
比肩,23224,2015,7
（书穿）和传说中的不一样,51749,2015,7
呵！媳妇落单了！,19024,2015,7
[网王]桥上长安,63766,2015,7
雾霭奇谈,25852,2015,7
晚时爱,72222,2015,7
倒装故事集之纸鸢,52004,2015,7
情劫：绝宠彪悍妃,50013,2015,7
乱一世英名,49159,2015,8
再见我的爱人,29362,2015,7
苫不来就我,189292,2015,7
[家教]躲避,30051,2015,7
重生之王爷夫君很腹黑,102479,2015,7
霸道的小受,33990,2015,7
重生之拯救,22280,2015,7
秦卿,42893,2015,7
谢彼年华,23823,2015,7
庶女风华,35983,2015,7
阿拉丁公司执行者（快穿）,19103,2015,8
血色の恋,319493,2015,7
侦查与镜头,23005,2015,7
碧落黄泉,22036,2015,7
冰旅,33604,2015,7
本的单恋,21613,2015,7
熹妃传之晴晴的罪恶人生,26001,2015,7
斯末蛋糕,55563,2015,7
冢不二待，一骑红尘,93546,2015,7
天下不韪,21196,2015,7
穿越之白斩鸡上位记,32971,2015,7
所谓人渣,43631,2015,7
涌泉相报,23850,2015,7
末日黄昏,56753,2015,8
江山易老,64035,2015,7
剧本之外,27523,2015,7
吸血鬼骑士之零英同人,26337,2015,7
舍不得难过,219709,2015,7
进化,35028,2015,7
长笑当歌,34188,2015,7
[修仙]他在忙,87426,2015,7
你的我的无极生活,59797,2015,7
归零,53429,2015,7
（快穿）伪傻狍子与伪高冷男神,109795,2015,7
一切可不可以重来,114569,2015,7
青丹溯记,26190,2015,7
踏黎归,205601,2015,7
平生不相思,20903,2015,7
大神，请留步！,31357,2015,7
养只正太拆cp,40009,2015,8
当修真遇到魔法,49808,2015,8
亲爱的，痛别怕,25013,2015,11
黯影纷尘,50703,2015,8
交换约定,21719,2015,8
背叛之爱,321213,2015,8
追猎,37330,2015,8
月与光,22865,2015,8
三花儿,301694,2015,8
爱你，鬼先生,19431,2015,8
火影之取舍,76180,2015,8
拜托，小姐,277275,2015,8
人族，第五纪元,44481,2015,8
华年,48217,2015,8
此生微光,682147,2015,8
神棍之流,56850,2015,8
重生之安逸享乐,34155,2015,8
终拥阳光,48303,2015,8
玄朱,201973,2015,8
刑法,71265,2015,8
红祸,33746,2015,8
饰爱,255095,2015,8
秦时明月之荼.靡,20453,2015,8
半世沉浮,248745,2015,8
仙途难觅,51730,2015,8
美人美人嫁给我,38726,2015,8
跟我走吧，女汉子,49622,2015,8
狩猎人鱼,28143,2015,8
将军有仇，公子勿近,47156,2015,8
握枪的正确方法,34171,2015,8
情愫,21242,2015,8
小爷和丧心病狂的魔教,33250,2015,8
在异世界怎么可以不切花间游,31546,2015,8
异世强悍金手指,25313,2015,8
英略传奇,1152585,2015,8
《疏遠》,43139,2015,8
蓝白纪事,136616,2015,8
快穿之你要好好爱我,27568,2015,8
天下第三,62865,2015,8
破茧,22984,2015,8
远途狩猎,74853,2015,8
亚赛芬的歌,46236,2015,8
重生之黄濑凉太,19037,2015,8
恋墨,19444,2015,8
怀孕风波,28903,2015,8
X-Men混乱与变革,72538,2015,8
海洋玫瑰,38139,2015,9
穿越未来之进化,38007,2015,8
生途,24710,2015,8
妖物行,30450,2015,8
终于夏末,56269,2015,8
离歌乱,279884,2015,8
重生之苏钦,41418,2015,8
飘摇·未名录,37679,2015,8
萧河,20236,2015,8
失忆,41236,2015,8
腹黑王爷特工妃,19935,2015,8
那些年在课上打发时间写的小小说（同人篇）,40576,2015,8
王子们的男神,23554,2015,8
近朱者墨,145032,2015,8
凉尘陌上,37603,2015,8
王爷,50340,2015,8
血色之恋,53607,2015,8
红尘漠北鞍马息,297925,2015,8
正牌驾到之邪帝宠妻,20833,2015,8
与灵,47955,2015,8
（网游）和人妖同居的日子,338597,2015,8
超晨之天京变乱回忆录,33924,2015,8
Who Knew,47247,2015,8
有个精分爱男主,26765,2015,8
青黄蜂语,529585,2015,8
棋魂亮光化蝶,139754,2015,8
如影随形,30336,2015,8
星空无骄阳,59727,2015,8
茶涅生,31990,2015,8
火影之夏夜萤火,26195,2015,8
快穿官场之深井冰boss疯了,22053,2015,8
依灯裁尘,88626,2015,8
流光殇,103244,2015,8
禁忌学院之学霸不好惹,32491,2015,8
我救过你？,37964,2015,8
待君青丝染霜华,35665,2015,8
非你莫属,38429,2015,8
快穿之法师修行任务,26265,2015,8
（人鱼）食谱不同怎么谈恋爱,62010,2015,8
18年的慢时光,37924,2015,8
你我依旧,24476,2015,8
重生之抓紧你的手,49123,2015,8
鸩字有毒,104611,2015,8
许我和你在一起,32110,2015,8
寞成欢,53063,2015,8
锦色行无泪,111122,2015,8
傲娇教科书实例一,81197,2015,8
另一个世界,32052,2015,8
为将者,96054,2015,8
我还有救吗,153897,2015,8
意外成皇,95145,2015,8
大家都有病,257958,2015,8
所谓命运的尿性,37094,2015,8
反咬一口,46192,2015,8
魔王的绝色宠妃,19024,2015,8
江山万里红,87606,2015,8
Atlantis,20344,2015,8
小生梁上求,22949,2015,8
重生荣华谋,23498,2015,8
末日神医录,34613,2015,8
重生之楮墨,58593,2015,8
探途,60488,2015,8
只为你狂,19024,2015,9
禾恬玉妖,175590,2015,9
云景风华,302480,2015,9
旧十年,407506,2015,9
放生,90938,2015,9
长风缠,22983,2015,9
末世重生之有个法师好任性,37986,2015,9
文科美男，理科班草,25223,2015,9
穿越是性别的谎言,83643,2015,9
杀死雷阿诺,203127,2015,9
暂无,19024,2015,9
异世之瀛苏,491874,2015,9
骸云·教皇的蛊惑,24032,2015,9
债,26973,2015,9
枫桥夜泊,130269,2015,9
莫顷狂,22418,2015,9
魔妻,48421,2015,9
创·世,367009,2015,9
一井如顾,23388,2015,9
贫民窟里的盖世英雄,31965,2015,9
陌上花开颜如卿,367141,2015,9
超自然求生,141567,2015,9
笼中白鸽,105924,2015,9
濒亡与救赎,174385,2015,9
还可以宠你吗,187256,2015,9
玛丽苏与我同居的日日夜夜,69515,2015,9
云烟千里不成歌,70099,2015,9
重生之改变命运,22642,2015,9
潜行,51268,2015,9
竹喧,25565,2015,9
承国公府,112824,2015,9
犬夜叉之琥珀,47063,2015,9
你怨在下我欣在上,47189,2015,9
站住，别跑,93801,2015,9
蝴蝶早就住在我心里了,23003,2015,9
恋风,20843,2015,9
故人叹,29633,2015,9
重回娱乐圈,273798,2015,9
此文是坑，慎点,46456,2015,9
综穿 脑洞小剧场,53446,2015,9
重生之离非离,665998,2015,9
腹黑冥女倾天下,19785,2015,9
素衣青风,82161,2015,9
祸心,164838,2015,9
疯海,53909,2015,9
高塔,53769,2015,9
重生再表白,124371,2015,9
错恋,19062,2015,9
笼中鸟,409027,2015,9
穿越之逆天驱魔人,159001,2015,9
契养,73019,2015,9
鸩,370150,2015,9
