作品,作品积分,年,月
OH，MY亲亲死敌,2962627,2008,6
千秋阙,1510240,2008,8
大明星和杀手,2158430,2008,4
御剑（仙剑同人·慕容云/重飞/星思）,1916736,2008,5
元分天定,3402479,2008,2
紫宸传,3386174,2008,12
skipbeat同人,2084629,2008,3
独剑,4316171,2008,5
袖舞清风,1084147,2008,6
黑色禁欲,1376759,2008,7
走失的矢车菊,2248002,2008,12
缘起网络,2934318,2008,12
如果你是假的,1078260,2008,1
风不定，人初静,1019646,2008,7
比目鱼,2871052,2008,9
不如穿越做大侠,1075572,2008,5
刹时流华,2195353,2008,3
火影。那个暗部,342032,2008,5
梦境四部曲之入梦、追梦系列,5210521,2008,6
翘家师傅,506176,2008,9
凤朝皇,1509601,2008,9
[网王]水仙『刨』冰,420697,2008,12
穿越的都是“大哥”,1344442,2008,5
杀手是世间最麻烦的人,1565507,2008,9
强强&弱强&美强&互攻……推文,323484,2008,1
醉臣--夜玄机,1984017,2008,6
爬上李世民的皇床,1216750,2008,6
为望城（作者：十方）,2383966,2008,7
无限恐怖 啥？！COS团大！,192984,2008,7
气短情长,2431404,2008,8
当杀生丸遇到猎人,185780,2008,7
（加勒比海盗同人）JUST LIKE A STORM,544109,2008,8
穿越之梦幻调酒师,1508848,2008,7
回首不见,1059258,2008,1
那一年，我们不再年少,921632,2008,8
(SS同人/撒沙)流年,1046255,2008,10
盗宝贼（逆水寒同人）－上部完结,1431040,2008,7
[HP同人]相性100问（LM/SS）,1322800,2008,8
有点抓狂,4720627,2008,9
血之乌鸦,496277,2008,10
紫钰降宸,1886882,2008,12
［圣斗士］［米妙］此时彼刻,733214,2008,2
重生的惑,618119,2008,7
边缘（SJ同人版）,2207142,2008,6
黑色姿色,1474513,2008,5
《炎之蜃气楼》解惑篇,382094,2008,7
我的脆弱不给你,1931430,2008,7
陶左和陶右的那些事,1525450,2008,6
苍华银炎,678269,2008,7
攻受生活二三事,843469,2008,7
白狐,621832,2008,7
戒指的故事,944203,2008,10
梅子黄时,694963,2008,5
[终极同人]-微笑守护,142977,2008,6
[士兵同人]妖孽是怎样炼成的(修改）,545590,2008,6
阴阳月,912345,2008,9
琴客风流,1761237,2008,12
士兵同人[袁高]——地火,485624,2008,8
网游之天下妖娆,282485,2008,10
风起云舒（阅薇楼）,7083280,2008,10
［圣斗士］［拉隆］夜半,275886,2008,12
[评]现代耽美文之强强王道,468907,2008,2
妖子赋,1550732,2008,4
月将军的铃铛,1264301,2008,11
我爱你（原名：落差）,1484395,2008,12
爱的元素,1568781,2008,4
